text,label
"shoot bubble deluxe katta soatlardir. bubbles ularni qaerga yo'naltirsangiz, yo'nalishni o'zgartirmasangiz va ranglarni o'zgartirsangiz, uni yutib bo'lmaysiz.
",0
"bu juda oson, bu bu chaqaloqlar uchun juda oson, u bu kabi narsalarni o'ynaydigan soxta o'yin
",0
"fb lite ftw standart xotira iste'mol qiluvchi facebook ilovasini unuting. bu mening yangi sevgim. lt3
",1
"dahshatli sekin. dahshatli interfeys. avtobusni izlovchi samarasiz va sekin. hech narsa mantiqqa to'g'ri kelmaydi va u g'azabga o'xshaydi. yaxshi narsa, bu gautrain xabarnomalari.
",0
"filmni toping o'yinni yaxshi ko'raman
",1
XIOMI A2 telefon ekranida juda yamon ko'rinyabdi. Matnlar ustma ust tushib qolyabdi,0
"ajablanarlisi bepul app uyga kech borib, bizning xonadonimizda barcha toshqin chiroqlari o'chirilgan. eslatib o'tdim menda chiroq yondi. xuddi binoda toshqin nuriga o'xshash. buni har doim ishlatish kerak.
",1
"katta miya teaser.
",1
"bad ish baddddddd
",0
"awsome no chiroyli qo'ng'iroqlarni hushtak, faqat yaxshi ish devs. va tonnadan ortiq ruxsat so'ramaydi.
",1
"ok barcha ramzlar uzildi .. em qiling .. rythym yo'lini tashlaydi
",0
"katta app baliq ovlari haqida ajoyib ma'lumot beradi
",1
"matnli emas. droidda matn yozib bo'lmadi va pulli ilovadagi barcha yuzlarni ochib bo'lmadi. qachon ishlaydi, lekin ko'pincha ishlamaydi.
",0
"super wonderful o'yin to'liq vaqtda pass
",1
"ajoyib
",1
"addictive clues sizni o'ylab ko'rishga majbur bo'lmasligingizdan voz kechishingiz juda oson emas. albatta, yaxshi muvozanat.
",1
"ma'lumotlar bilan o'ynash mumkin emas
",0
"ajoyib o'yin men butun kun o'ynayman, ajoyib ishchilar
",1
"ShareItning so`ngi versiyalarini ishga tushirish ko`p vaqt oladi, va ularni ishlatish ham yaxshi ma'noda noqulay.",0
"men bu o'yinni ipadda sevganim uchun juda ko'p vaqtni kutganman, lekin androidda u juda sekin yoki kechikmayapti ... sekin javob qaytarish va hamma narsani bajarish ... plz uni tuzatadi va mamnuniyat bilan uni 5 yulduzga aylantiradi
",0
"lag lag lag lag, bu o'yin soooooo laggy va sooooo reyting www.uz o'ynashni yaxshi ko'raman, lekin u erda kechikishlar bo'lsa, u qulab tushadi. iltimos bu xatoni tuzating
",0
"ehh grafika dissapointingly past piksellar sonini, siz tegmang va maqsadga harakatlantiring va darajasiga aniq top yo'q. to'plar faqat ko'rinmas tomga o'rnatiladi. hech kim uni o'ynashga qiziqmaydi.
",0
" u hatto chaqaloqni o'zgartira olmaydi yoki boshqa hech narsa kilitmagani sababli qulflangan narsalar ham bor, shuning uchun men uni 0 yulduzga berishim mumkin, afsuski men mumkin emas
",0
"31-may real kurashida uni sotib olgunga qadar va shon bo'lmagan joyda turish uchun uni topish uchun tugaganligini eslatib o'tmaydi
",0
"katta o'yin ushbu o'yin soatlab sizni telefoningizda ushlab turadi.
",1
"sevgi bu anime yaxshi ko'raman va bu dastur sizga tanlash uchun juda ko'p beradi
",1
"rip off har doim qulaydi. iltimos, pulimni qaytaring.
",0
"bu ajoyib, albatta men o'ynagan eng yaxshi ritm o'yinlaridan biri. o'qish eğrisi juda tik, shuning uchun taraqqiyotning ulug'vor tuyg'usi bilan aralashgan ba'zi bir umidsizliklarga tayyorlaning.
",1
"qanchadan-qancha nmrl
",0
Oddiy Okey,1
"qiziqarli o'yinlar ok
",0
"nexus 4 boshqalar bilan bir xil xato ... xato marmalade v6.0.6 323198
",0
"men har doim va kunni o'ynayman. vau vau hechqisi xato. iltimos, iltimos, marhamat qilib, iltimos, iltimos, iltimos, iltimos, iltimos, vip escort na ni tanlang
",1
"men uni sevaman
",1
"bu erda nima sodir bo'layotgani haqida yomon yangilik, men pro versiyasini yillar davomida ishlatgan edim, ammo yangilanishdan so'ng pro-prokatga ega bo'lolmaysan, google play javob berish uchun uzoq vaqt talab qiladi.
",0
"xullas, men bu o'yinni o'ynashni boshladim va bu ajoyib. 5 daqiqada o'ynashga mone bo'lmaysan, keyin yaxshi hayot uchun o'ynaganman va umid qilamanki, hayotim tugadi. o'yin o'ynash juda yaxshi bo'ladi. foydalanuvchi ajoyib. katta bepul o'yin.
",1
"sizning vaqtingizni isrof qilmang
",0
"faqat ushbu o'yinni yaxshi ko'raman. albatta, ajoyib
",1
"bu ajoyib
",1
"katta o'yin, lekin ...... android 4.0.4 versiyasiga ega bo'lishni juda xohlayman, chunki men uni tabletimga tushira olmayapman va u uchun android-ning yangiligi yo'q
",1
"shunday qilib, g'azabim juda ko'pdir, ammo yaxshi o'yin, u 1000 ta savolga javob beradi
",1
"men bu o'yinni bitta yulduzga berolmayman, har safar o'yinni boshlaganimda stolga o'ynay boshlayman va men yana chipta sotib olishim kerak. haqiqatan ham uni tuzatadi
",0
"ishlamaydi opengllt uchun marmelat xatoini otadi va sims boshlang'ich ekranida osadi. men pulni qaytarib olishni xohlayman.
",0
"eh, men qilgan har bir narsani kuzatib borishni istasam, ilovani o'chirib qo'yishim kerak. saytdagi viktorinalar miqdori deyarli emas. xarid qilishdan oldin baholashni o'qib chiqish kerak. hali ham qiziqarli.
",0
"ishlamaydi birinchi ishga tushirishda kam xotira xatosini ko'rsatadi. galaxy s4.
",0
"uni sevaman, singlimni garri stilning raqamiga ega deb o'ylab qoldim va u hali ham uning raqamini o'ylaydi
",1
"yangi yangilash o'yinidan so'ng muzlatiladi va urushdan avval bazani tahrirlay olmaysiz. to'g'ri yoki men o'ynashni to'xtataman
",0
"yaxshi dastur, u nima qilishi kerak.
",1
"muqaddas moly bilan ridikullik qo'shimcha qilinmoqda men qasam ichardim, o'ynashni buzib tashladim, albatta bingo'ni juda yaxshi ko'rardim va bu joyga tushib qoldingiz tokoyo, rojdestvo mavzusini, barcha bolalarning barchasi ajoyib,
",1
"royally so'radi qizim bir marta o'ynashga ham ruxsat bermaydi. u bizni yopib qo'ydi. va har tomondan, bu erda reklama ochiladi.
",0
Internet beeline 4G juda yaxshi tezlikka ega. Filmlarni online tomosha qildim. Juda yaxshi dastur ekan.,1
"ishladim, lekin ... mening butun vmemim ishlatilmayapti va o'yinlar hali ochilishdan oldin halokatga uchraydi. vmem 1150 mb, almashinish har ikkalasini ham 100 va 50 da sinab ko'rdi
",0
"foydalanuvchining do'sti o'yin-takrorlash imkoniyati grafik, tezlik, butun konsepsiya va taqdimot qiziqarli va o'ynash oson
",1
yaratuvchilar umuman e'tiborsiz holda yaratganlar,0
"taymer ishlamaydi men olish uchun vaqt sarflaydigan bir nechta narsalarni sotib oldim, lekin taymer ishlamayapti. men tarmoqqa ulangan bo'lishim kerakligini aytadi. men mobil va wifi bo'lganman. energiya endi to'ldirilmaydi, endi men siqilganman ... gluni o'chirib tashlayapsiz
",0
"ushbu o'yin yangilashdan oldin ajoyib edi. men doimo o'ynardim. 4 soatlik oraliq xabarnomalari doimo ishlamaydi. bonus chipslari endi ortmaydi. men o'chirib tashlayapman
",0
"men o'ylaymanki, o'yinni o'ynashni emas, balki gud o'yinini tomosha qilaman
",1
"tasdiqlash kodini olmadim
",0
"yoqdi
",1
"bu juda ajoyib o'yin, ehtimol kelajakdagi yangilanishda siz saqlash tugmasi qo'shishingiz mumkin, shuning uchun siz o'zingiz istagan paytda dunyoingizni o'ynashingiz mumkin.
",1
"ushbu o'yin nima yaxshi, lekin biz faqat thomas.we boshqa poezd sotib olmaydi, ular har doim uchun pul so'rash.fix it 5 yulduz
",0
"muhim xato ushbu uchun pul to'laganim uchun litsenziyani tekshirish xatoligi, iltimos, tuzatib qo'ying
",0
"hali huawei telefonlarini dastlabki ekranga tushirishning iloji bo'lmadi, men hali bu o'yinni ishga tushirish imkoniyatiga ega bo'lmaganday tuyulmagandim
",0
"shuning uchun har bir oyda yangi jumboqlarni xarid qilaman va uni sevaman. soat yaxshi mantiqiy kulgili
",1
"pulga arzimaydigan juda ko'p ma'lumot siz aviator yoki kemachi bo'lsangiz, ushbu ilovani ko'rib chiqmang.
",0
"oson boshqaruv, o'yinni odat qilaman men hech qachon oxirgi fantaziya o'yinini kaltaklaganim yo'q, shuning uchun telefonimni olishni osonlashtiradi deb o'yladim. juda qiziqarli va nol muammolarim bor.
",1
"bir firstrate so'z o'yini qattiq, g'amxo'rlik va o'yin o'ynashda juda qiyin. ko'p qiziqarli effektlar va powerups. sizdan ko'proq pulni siqish haqida tajovuzkor emas, lekin siz ko'proq variantlarni tanlashingiz mumkin. qiziqarli.
",1
"u sucks.booooo o'yin juda laggy va hatto u erda narsalar ham ko'rmayapman, u erda juda ko'p reklama va xatolar, u shiddat davom etmoqda
",0
"uni doimo ishlatish men veb-sinxronizatsiya qilishga urinib ko'rganimda, muammo faqatgina etishmayotgan parametrlardir, lekin bundan tashqari, ushbu ilovani uzoq masofali tortishish uchun yaxshi ko'raman.
",1
"nexus 10 da o'ta murakkab masala nexus 10-da ekranning past qismiga bir parcha ko'chirganimda, o'yin ekrani 14 o'lchamga qisqaradi. o'yin hali ham davom etmoqda. ammo keyinchalik joylarni joylashtirish qiyin.
",0
"Beeline Uzbekistan mijozlari uchun hisob; daqiqa, MB, SMS qoldiqlarini koo'rish; yangilik va aksiyalar haqida ma'lumot olish uchun eng yaxshi dastur. Ishlatishga qulay.",1
"bu yangi boshlanuvchilar uchun klondikening versiyasi. men har doim kartalari bir xil taqsimlanganini bilib oldim, chunki ular kichik bo'lgani uchun ko'rish qiyin edi. men aslida bu ilovani nolinchi yulduzlarga baholayman.
",0
"Yaxshi ishlaydi, men hech qanday xato topolmadim, ishlab chiqaruvchi sifatida yaxshi ish!",1
"yangi o'yinchilar mavzularni yaxshi ko'radilar va qandaydir ba'zida haqiqiy kazinolar singari zo'rdan zo'r qotib qolishdi. hamma narsa omad va vaqt haqida. slotlarni yaxshi ko'rish
",1
"s4 ltea katta ekranli foydalanuvchilar uchun mos emas, chunki ba'zi funktsiyalar ekranning yuqori qismida, zumda suratga olish jarayonida asta-sekin harakatlana olmaydi. umid yaxshilanishi mumkin
",0
"fake app balance noto'g'ri orqali kelgan emas ... katta firibgarlik ... frnds dont download
",0
"bir necha oydan buyon yangi smartfonlardagi zoom-minora masalalarini hal qila olmayapman. men pulni juda murakkablashtirmoqchi bo'laman ..... 5 dan 1 gacha bo'lgan vaqtingizda men qaytib kelaman.
",0
"maddi bryant bu yaxshi emas, lekin men buni yoqtirmasligimni aytaman, chunki ko'pchilik qo'shib qo'yadi. juda tez yuklab olish.
",0
"o'yinga kirolmayapman galaxy s4 mening so'nggi yangilanishimdan so'ng men o'ynay olmayman ..... yangiliklar haqida kirishni takrorlashni davom ettiraman .. o'yinni o'ynata olmayapman..waaaa..please this matter quikly ...
",0
"men seni juda yaxshi ko'raman
",1
"oxirgi yangilanish so'nggi yangilanishni yaxshi ishladi. men ilovani ochishga harakat qilaman va u darhol menga yopiladi. uni tez orada foydalana olmasam, uni o'chirib tashlash.
",0
Bu eng yaxshi narsa,1
"yaxshi o'yin. lekin sizni saqlab qolish uchun ruxsat bermaydi yaqinda o'zgarmagan telefon, lekin bu o'yin sizning harakatingizni o'tkazishga ruxsat bermaydi. bu haqda mijozlarga qanday qilib yordam berishni kutmoqdasiz
",0
"barmoq izini qulflash ekrani simulyatori juda yaxshi
",1
"avtomobil logosi men mashinalarni sevaman
",0
"tobe ishchi dastur tipidagi variant yo'q. gapiruvchi qayerga qadar ketayotganini bilmayman. agar 80 dan kam so'rovni bekor qilsangiz, siz to'xtatib qo'yasiz. bundan tashqari, siz safarda 1 ta xavfsiz otaveri olasiz. bu sizning barchangizga qarshi
",0
"muammo o'z-o'zidan hal bo'ldi birinchidan, bir nechta masalalar, lekin ular o'zlarini hal qildilar. katta ilovalar, hozirga qadar juda ko'p zavqlanaman. bir necha kun ichida ko'p narsalarni o'rgandim. tavsiya eting.
",1
"ushbu o'yin dumd
",0
"grinders o'yinlari iltimos, bluetooth multiplayerdan foydalaning, shuning uchun ko'proq pul yo'qotishingiz haqida qo'shimcha ma'lumot olish uchun iltimos, menga elektron pochta orqali yuboring
",1
"men juda yaxshi o'ynashni yaxshi ko'raman.
",1
O'ta darajada ko'p reklama,0
"eng yaxshi o'yin men kliplarni tomosha qilishni juda yaxshi ko'raman va juda ko'p barcha belgilar nomlarini bilaman va aksincha, oyna oynasi kabi. iltimos, o'yinni o'ynashga qiziqarli va qiziqarli bo'lishiga qaramay, o'yinni to'ldirib qo'ying
",1
"ajablanarlisi naqadar bezovtalanishdir fizika va samolyotlar juda yaxshi bajarilgan. agar siz aviakompaniyangiz uchuvchisiz bo'lsa, sizni chalkashtirasiz.
",0
"buni o'ynashga qodir emasman, endi har bir narsa to'ladi, axir, siz o'z ahmoqona qilsangiz, bu men sizni o'ynagan yomon xo'jalik o'yini, hech kimni sotolmaysiz.
",0
"siz osongina 5 yulduzli ilovalar bo'lgansiz, ammo yangilanishni boshlaganingizdan beri shazam qo'shiqlarini onlayn qilib olmaysiz va siz xizmatdan tashqarida yoki oy uchun ma'lumotlarni o'chirib qo'yishingiz shartsiz
",0
Ilovaning ayrim qismlarida o'zgaruvchan tillarda xatolar kabi ishlamoq kerak. Ba'zan ular mos emas,1
Foydalanish juda oson,1
"qanchadan-qancha o'g'lim bu yangi ilovani o'ynashni so'rayapti. bu ijodiy va hatto uni yoqtirar edim. yoqilgan ilovalarni yaxshilashga harakat qiling
",1
"2048 bu katta qiyinchiliklarga ega, lekin juda oz umidsizlik bilan qiziqarli o'yin. siz qanchalik yuqori bo'lgan bo'lsangiz, shuncha ko'p ball bering.
",1
"hech qiziq. gameplay salyangoz kabi harakat qiladi. darajalar yomon ishlab chiqilgan. ushbu o'yinda men 99 funt sarflamaganman. o'chirib tashlandi, chunki u qurilmamda bo'sh joy oladi.
",0
A'lo darajada. Charchamanglar,1
"sevgi bu ilovani yaxshi ko'raman, lekin u juda yaxshi ishlaydi, lekin chindan ham sizga qaysi sahifani qaerda saqlay olishingizni so'rayman. shunday qilib, siz chiqqandan keyin sahifangizni yo'qotmaysiz. bundan tashqari, ajoyib dastur
",1
ok,1
"ushbu ilovani juda yoqtiraman
",1
"fcb baercelona. champions
",0
zo'r ekan ancha qulay,1
"katta app o'yinni dastlab nozil qilganda u ajoyib ishladi. lekin men aniq bir nuqtaga keldim, endi o'yin boshlamoqchi emas, darhol yopiladi. yangi qurilma bilan bir xil modelni yuklab olishda muammo yuzaga keldi
",0
ilova o'rnatganda ortiqcha mablag' talab qiladi,0
"albatta, ajoyib. vaqtimni butunlay bekor qiladi. ushbu ilovani taqirlaydigan barcha odamlar, albatta, yo'qotishadi. bu ajoyib. siz yulduzlarni tomosha qilishingiz mumkin.
",1
"ajablanarlisi o'yin qizim bu o'yinni doktor pandani ushlab turishni yaxshi ko'radi
",1
"o'yin ma'lumotlarini uzatishda muammolar tabletkimdan telefonimga ma'lumotni yuklab bo'lolmayapman men telefonda 1-darajali 1-qutiga yopishib oldim, lekin jadvalda men mavsumda 2 plz yordami bilan deyarli yarim yo'lda bo'laman va men 5 yulduzni beraman
",0
"ko'zda tutilmagan reklamalar siz yangilab bo'lmaydigan obzektif reklamalarni qo'shgansiz. bu mening sevimli dasturim bo'lgan. endi u o'chirildi.
",0
"katta oddiy o'yin bu 3 yil avval android bilan ishlay boshlaganimdan beri o'yinga o'tishim. har doim yaxshi ishladi. bu faqatgina bouling o'yini. achchiq to'p yo'q, faqat katta bouling o'yini.
",1
"u ishlamasa ham men uni ochmasman va appni bosib, telefon menyusiga qaytaman
",0
"juda qisqa yo'l men juda oz vaqt investitsiya bilan mag'lub qadar kulgili o'yin edi. men yangi darajaga ko'tarilishga yaqinlashdim va keyin tugadi deb o'yladim. juda achinarli. buning potentsiali bor edi, ammo undan uzoq bo'lishi kerak edi.
",0
"hali ham har qanday appstore ustida eng yaxshi sarguzasht o'yini o'yinni ajoyib o'yin, yaxshi grafikalar, o'ziga qaram qiladigan cheksiz runner. yaxshiyamki, raqobatbardosh bo'lish uchun pulga pul qo'yish shart emas
",1
"qizim bu o'yinni sevadi, tavsiya qilaman
",1
shablonlarni joylashtirishni imkoni yo`q,0
"men maxsus suratlar uchun pul to'lamadim yoki chop qilmadim, ularni na qog'ozga yozib olaman, na printerga yozishga qodir emasman. rasmlar uchun to'lovlarni taqiqlang. apple'dan androidga yana bir yomon port. juda xafa bo'ldi.
",0
"awesome dasturi juda kulgili
",1
"lol menga haqiqiy gitara yoqadi, lekin bilmayman, shuning uchun u yerda gitarani bu yerda bepul haqiqiy gitara
",1
"faqat uni yaxshi ko'raman
",1
"thiaps ilovasi juda yaxshi, lekin sizga yuklab olish uchun ruxsat berish kerak.
",1
"Ajoyib! har birimiz uchun zarur bo'lgan juda ko'p ma'lumotlar mavjud, hatto ular yangi yangiliklar",1
"men uni juda yaxshi ko'raman
",1
"yaxshi ....... lekin kamida 70 va 80 darajalarda bo'lishi kerak
",1
"samsung galaxy s4 3035-yilga kelib qulab tushdi
",0
"yaxshi fikr, lekin o'g'li planshetiga qulab tushadi
",0
"katta nerggasm, qiziqarli va aqlingizni yaxshilashning ajoyib usuli ... strategiya sevadiganlarning orzulari
",1
Ilova nafaqat yoshlar uchun balki kattalar uchun ham tog'ri kelmaydi ,0
"juda yaxshi, bu men uchun zarur bo'lgan narsadir
",1
"stupid foydasi yo'q, men bu o'yinni birinchi marta o'ynadim, ammo bizga faqat uchta maslahat berish kerak bo'lsa, hech qanday yordam yo'q.
",0
"dahshatli formatlash bu ilovani uzoq vaqt davomida qo'llab-quvvatlamagani ko'rinadi. bundan tashqari, ilovaga to'lash kerakligiga qaramasdan, doimo reklamalar mavjudligidan nafratlanaman. sevimli forumingiz uni qo'llab-quvvatlasa tapatalk bilan yoping.
",0
"nexus 7 o'yin juda qiziqarli, lekin tasodifiy ravishda 1 soniyadan oshib ketganimda, 12 soniyagacha 2 darajali ko'rinadi
",0
Yaxshi lekin pulli xizmat ko'rsatish yo'q bo'lsa unda boshqacha bo'lardi,1
"men kira olaman, lekin ... menga ergashmagan foydalanuvchilarni kuzatishni xohlamaganda, taxminan 60 soniyani kutishim kerak, buning hammasini bekor qilishim mumkin. nima uchun bu juda kech
",0
"samsung galaxy s5 raqamli o'yinini o'ynataman ... va men lisha-ni juda yaxshi ko'raman ... juda ko'p ... sei love lisha .. pls sevgi uchun menga ovoz berish ... pls love love uchun yordam ..
",1
"zo'r dastur juda foydali va tez yangilash uchun rahmat
",1
"yaxshi vaqtni yaxshi sarflash har doim o'zingiz yaxshi ko'ring va o'zingizni yaxshi his qilasiz. 80 darajaga ko'tarilishga harakat qilmoq
",1
"3 milliondan ortiq kreditlar juda yaxshi, bir bonus emas, balki yaxshi ish
",0
"katta in app xaridlarni bajarish bilan birga ajoyib, oddiy o'yin
",1
"bolalar qachon qachon kichkina krenning yangi versiyasini playstore qo'yishganda, iltimos, javob bering
",1
"ajoyib, lekin ... nimaga yangilanishni ikkita qismning o'rniga o'rnatish qismiga joylashtirmaysiz?
",1
Gap yo`q juda maqul.,1
"men taklifimni sotib olganimda ... bir dallor uchun taklifni sotib olganimda, bu menga taklifni bermadi, deb aytgan plz fixi bu bilan gunnlarni qilishimiz uchun, ammo men to'g'r qilmaydi im so mad
",0
"katta oyna jungle o'ynashning ajoyib va ​​noyob usuli. men boshlaganimdan keyin chiqib ketish qiyin. men hayotdan qochib qutulolmayman, lol buni sinab ko'ring va men sizning fikringizga qo'shilishingiz mumkin deb o'ylayman.
",1
"yaxshi
",1
"nazoratchi bilan aloqa qilmasdan moga hero power sotib oldim va bu o'yin uni o'qimaydi.
",0
"endi ishlamaydi. lolipopda ishlamaydi. har doim korporatsiya logotipi ko'rsatilgandan so'ng yopiladi. keyin qora ekran va telefon stoliga qayting.
",0
"forum mening sevimli forumimni joylashtirishimga ruxsat bermaydi va uning ro'yxatida emas, faqat uni yuklab qo'yganim sababi ... bu uchun har qanday yordam
",0
"go'zal app keyingi natija qachon ishga tushadi? men barcha darajalarni o'chirib tashladim.
",1
"yaxshi miya boshlang'ichlari har kuni miyaning boshini chayqash uchun juda qiyin, shubhasiz qiyinchilik tug'diradi.
",1
"qurilmalar orasida sinxronlanmay qolmaydi, google play yutuqlarni ushlaydi, lekin ularni qayta tiklamaydi
",0
"muammo men o'ynashni boshlaganimda ekran qora rangga o'tadi
",0
"Ya'ni, olg'a",1
"juda yaxshi emas, ko'proq mashqlarni qo'shing. ushbu bepul ""bodybuilding fitness"" ilovasidan bilib oling.
",0
Ilovada xavflik darjasi umuman yoq ekan ,0
"Yaxshi ishlangan ishonchli, qulay Ancha qulay va ishonchli va o'z o'rnida biroz kamchiliklar bor. Rivojlantirishda davom etinglar. Omad",1
Musixmatch ilovasining interfeysi yaxshi tuzilmagan.ko'zga ko'rimsiz.,0
"menga pulimni qaytarib bering, uni sooooooooo zerikarli edi. pulimni qaytarib berishni yoqtirmadim, pulimni qaytarib olishni istayman
",0
"bolalar uchun hech qanday stormiest o'yin.
",1
"men yana bir narsani yuklab olish uchun pul to'lashimni istayman
",0
Juda yamon ilova ekan.,0
"men uni ajoyib grafika va har tomonlama mukammal ko'raman. men faqat o'yinni qidiryapman. men allaqachon dark strokes 2 o'ynaganman va bu juda yaxshi edi. men, albatta, tavsiya qilaman.
",1
"siz ovidiou popi rokida menda ur juda yaxshi o'yinlar bilan rock bor, bunday o'yinlar uchun rahmat samolyot simulyatori u
",1
"nimbuckning ortishi nimbuzzni ushbu atleastga aylantiradi yoki boshqa pulni kamroq pul bilan oshiradi. biz 1000 ta nimbuckzni to'lashimiz kerak
",0
"yomon .. mp yomon o'yinni yo'qotmang
",0
"o'rnatilgan, lekin o'g'limni va qizimni qonun bilan ocholmaydigan ikkala o'yin ham, uning telefoni ham meniki kabi
",0
Musur bugan.,0
"muammolar
",0
"ajablanarlisi pokeclone to'liq kutganim va pulga arziydigan bo'lsam, faqatgina mahalliy kompyuterda o'ynashim mumkin. bundan tashqari do'kon tugmachasini yopishning bir yo'li bo'lishi kerak, bu juda ko'p bo'shliqni talab qiladi.
",1
"vaqti-vaqti bilan ishlaydi har doim xato ko'rsatib turibdi va hatto mp4 formatida bo'lishidan qat'i nazar, filmlarni ijro etmaydi, shuningdek, htc-dagi har bir narsani ko'rsatmaydi
",0
"umid qilamanki, bu mening qizim
",1
"sevgi toka boca juda yoqimli. barcha o'yinlar tok bokadan yaxshi. mening juz soch boka soch saloniga ega va har doim batareyalarini o'ynatib chiqarmoqdaman
",1
"fantastic racer bu men telefonda o'ynagan eng yaxshi poyga o'yin. faqat 79p ajoyib o'yin, dahshatli grafikalar, o'yindagi unlockables, lekin ilovalarni sotib olishda ahmoqona. zo'r. umid qilamanki, bu kompaniya ko'proq o'yin ko'rsatadi
",1
"g'azab ... ... angliyada manchesterda ishlamaydi
",0
"uning mario o'yinlari va hech kim o'zlarini o'ldirishni aytganini, kimdir bu kabi gaplarni aytganida, qamoqqa tushishi mumkin.
",1
"achchiq o'yin 27-darajali bo'ldi va hozirda hech narsa yo'q, salyangoz ekrani tortishish uchun menga yordam so'radi va men telefonimga olib kelolmayman, lekin yordam berolmaysiz, agar men yordam qilolmaysan, endi men o'ynamayman
",0
"ushbu yangi yangilanishgacha yaxshi o'yin bo'ldi. endi esa uni ushlab turishim uchun har doim men bilan bog'lanishni tekshirishimni aytaman, shuning uchun endi bu foydasiz dastur
",0
"ajoyib deyarli har qanday kamera bilan ishlaydi. ajoyib xususiyatlar.
",1
"ajoyib bir joyga kerak bo'lgan hamma narsa. yangi tartib xususiyatlari juda yorqin. va ob-havo xabarlariga ega bo'lish, ular diqqatga sazovor joylar kabi ajoyib xususiyatdir
",1
"shubhasiz, mening burchakdagi joyim yo'q, men buni sinashni xohlayman, shuning uchun hozir juda g'azablanaman, ha
",0
Ko'tlar hech qaysi biri ishlamadiyu,0
"men bu dasturni yaxshi ko'raman. sizga bu qadar qiziqarli, siz makaron qo'shasiz va siz yuqorida pishloq qo'yishga qodir bo'lishingiz kerak. men yosh va bir oz uzoqroq bo'lgan ushbu dastur zo'r va ajoyibdir. pishloqli makaron. ilovani yoqtirar edim
",1
Juda yaxshi...,1
"yangilash men o'yinni juda yaxshi ko'raman, lekin yangi yangiliklardan nafratlanaman. endi men profil rasmini ko'ra olmayapman va u endi ball yoki facebook aloqasi emas
",0
